Time Cost: 68.62752771377563s
Community 1035: ['4198']
Community 1036: ['4199']
Community 1037: ['4200']
Community 1038: ['4201']
Community 1039: ['4202']
Community 1040: ['4203']
Community 1041: ['4204']
Community 1042: ['4205']
Community 1043: ['4206']
Community 1044: ['4207']
Community 1045: ['4208']
Community 1046: ['4209']
Community 1047: ['4210']
Community 1048: ['4211']
Community 1049: ['4212']
Community 1050: ['4213']
Community 1051: ['4214']
Community 1052: ['4215']
Community 1053: ['4216']
Community 1054: ['4217']
Community 1055: ['4218']
Community 1056: ['4219']
Community 1057: ['4220']
Community 1058: ['4221']
Community 1059: ['4222']
Community 1060: ['4223']
Community 1061: ['4224']
Community 1062: ['4225']
Community 1063: ['4226']
Community 1064: ['4227']
Community 1065: ['4228']
Community 1066: ['4229']
Community 1067: ['4230']
Community 1068: ['4231']
Community 1069: ['4232']
Community 1070: ['4233']
Community 1071: ['4234']
Community 1072: ['4235']
Community 1073: ['4236']
Community 1074: ['4237']
Community 1075: ['4238']
Community 1076: ['4239']
Community 1077: ['4240']
Community 1078: ['4241']
Community 1079: ['4242']
Community 1080: ['4243']
Community 1081: ['4244']
Community 1082: ['4245']
Community 1083: ['4246']
Community 1084: ['4247']
Community 1085: ['4248']
Community 1086: ['4249']
Community 1087: ['4250']
Community 1088: ['4251']
Community 1089: ['4252']
Community 1090: ['4253']
Community 1091: ['4254']
Community 1092: ['4255']
Community 1093: ['4256']
Community 1094: ['4257']
Community 1095: ['4258']
Community 1096: ['4259']
Community 1097: ['4260']
Community 1098: ['4261']
Community 1099: ['4262']
Community 1100: ['4263']
Community 1101: ['4264']
Community 1102: ['4265']
Community 1103: ['4266']
Community 1104: ['4267']
Community 1105: ['4268']
Community 1106: ['4269']
Community 1107: ['4270']
Community 1108: ['4271']
Community 1109: ['4272']
Community 1110: ['4273']
Community 1111: ['4274']
Community 1112: ['4275']
Community 1113: ['4276']
Community 1114: ['4277']
Community 1115: ['4278']
Community 1116: ['4279']
Community 1117: ['4280']
Community 1118: ['4281']
Community 1119: ['4282']
Community 1120: ['4283']
Community 1121: ['4284']
Community 1122: ['4285']
Community 1123: ['4286']
Community 1124: ['4287']
Community 1125: ['4288']
Community 1126: ['4289']
Community 1127: ['4290']
Community 1128: ['4291']
Community 1129: ['4292']
Community 1130: ['4293']
Community 1131: ['4294']
Community 1132: ['4295']
Community 1133: ['4296']
Community 1134: ['4297']
Community 1135: ['4298']
Community 1136: ['4299']
Community 1137: ['4300']
Community 1138: ['4301']
Community 1139: ['4302']
Community 1140: ['4303']
Community 1141: ['4304']
Community 1142: ['4305']
Community 1143: ['4306']
Community 1144: ['4307']
Community 1145: ['4308']
Community 1146: ['4309']
Community 1147: ['4310']
Community 1148: ['4311']
Community 1149: ['4312']
Community 1150: ['4313']
Community 1151: ['4314']
Community 1152: ['4315']
Community 1153: ['4316']
Community 1154: ['4317']
Community 1155: ['4318']
Community 1156: ['4319']
Community 1157: ['4320']
Community 1158: ['4321']
Community 1159: ['4322']
Community 1160: ['4323']
Community 1161: ['4324']
Community 1162: ['4325']
Community 1163: ['4326']
Community 1164: ['4327']
Community 1165: ['4328']
