Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6614,48,109,60,0.5504587155963303
6615,48,109,60,0.5504587155963303
6616,87,108,20,0.18518518518518517
6617,55,108,52,0.48148148148148145
6618,69,108,38,0.35185185185185186
6619,41,109,67,0.6146788990825688
6620,41,108,66,0.6111111111111112
6621,45,107,61,0.5700934579439252
6622,40,108,67,0.6203703703703703
6623,44,109,64,0.5871559633027523
6624,39,108,68,0.6296296296296297
6625,47,107,59,0.5514018691588785
6626,86,107,20,0.18691588785046728
6627,46,105,58,0.5523809523809524
6628,38,108,69,0.6388888888888888
6629,86,109,22,0.2018348623853211
6630,36,108,71,0.6574074074074074
6631,51,107,55,0.514018691588785
6632,39,108,68,0.6296296296296297
6633,91,110,18,0.16363636363636364
6634,41,108,66,0.6111111111111112
6635,51,108,56,0.5185185185185185
6636,41,107,65,0.6074766355140186
6637,79,107,27,0.2523364485981308
6638,41,106,64,0.6037735849056604
6639,64,109,44,0.4036697247706422
6640,47,109,61,0.5596330275229358
6641,70,108,37,0.3425925925925926
6642,82,107,24,0.22429906542056074
6643,48,109,60,0.5504587155963303
6644,47,107,59,0.5514018691588785
6645,76,108,31,0.28703703703703703
6646,46,108,61,0.5648148148148148
6647,57,109,51,0.46788990825688076
6648,43,108,64,0.5925925925925926
6649,44,110,65,0.5909090909090909
6650,49,109,59,0.5412844036697247
6651,66,108,41,0.37962962962962965
6652,43,109,65,0.5963302752293578
6653,71,107,35,0.32710280373831774
6654,77,108,30,0.2777777777777778
6655,52,108,55,0.5092592592592593
6656,44,107,62,0.5794392523364486
6657,59,108,48,0.4444444444444444
6658,88,107,18,0.16822429906542055
6659,44,109,64,0.5871559633027523
6660,43,108,64,0.5925925925925926
6661,39,108,68,0.6296296296296297
6662,41,106,64,0.6037735849056604
6663,48,108,59,0.5462962962962963
6664,40,108,67,0.6203703703703703
6665,53,108,54,0.5
6666,48,110,61,0.5545454545454546
6667,45,109,63,0.5779816513761468
6668,19,105,85,0.8095238095238095
6669,83,107,23,0.21495327102803738
6670,87,108,20,0.18518518518518517
6671,47,110,62,0.5636363636363636
6672,45,110,64,0.5818181818181818
6673,50,109,58,0.5321100917431193
6674,51,110,58,0.5272727272727272
6675,89,108,18,0.16666666666666666
6676,62,108,45,0.4166666666666667
6677,73,107,33,0.308411214953271
6678,45,108,62,0.5740740740740741
6679,40,106,65,0.6132075471698113
6680,46,108,61,0.5648148148148148
6681,79,109,29,0.26605504587155965
6682,41,109,67,0.6146788990825688
6683,82,107,24,0.22429906542056074
