Time Cost: 31473.23913693428s
Community 553: ['20884', '20886', '20909']
Community 554: ['20887', '20906', '20908']
Community 555: ['20889', '20944', '20946']
Community 556: ['20890', '20891', '20892', '20893', '20894', '20895', '20896', '20897', '20898', '20899', '20900', '20902']
Community 557: ['20901', '20903', '20904', '20905', '20907']
Community 558: ['20927', '20974', '20975', '20976', '20977']
Community 559: ['20929', '20967', '20968', '20969', '20970', '20971', '20972', '20973', '20980']
Community 560: ['20931', '20962', '20963', '20964', '20965', '20966', '20982']
Community 561: ['20932', '20933', '20934', '20935', '20937']
Community 562: ['20936', '20938']
Community 563: ['20939', '20940', '20941', '20942', '20949']
Community 564: ['20943', '20945', '20947', '20948']
Community 565: ['20950', '20951', '20952', '20953', '20954', '20955', '20956', '20957', '20958', '20959', '20960', '20961']
Community 566: ['20979', '21026', '21027', '21028', '21029']
Community 567: ['20981', '21019', '21020', '21021', '21022', '21023', '21024', '21025', '21032']
Community 568: ['20983', '21014', '21015', '21016', '21017', '21018', '21034']
Community 569: ['20984', '20985', '20986', '20987', '20989']
Community 570: ['20988', '20990', '21013']
Community 571: ['20991', '21010', '21012']
Community 572: ['20992']
Community 573: ['20993', '21048', '21050']
Community 574: ['20994', '20995', '20996', '20997', '20998', '20999', '21000', '21001', '21002', '21003', '21004', '21006']
Community 575: ['21005', '21007', '21008', '21009', '21011']
Community 576: ['21031', '21078', '21079', '21080', '21081']
Community 577: ['21033', '21071', '21072', '21073', '21074', '21075', '21076', '21077', '21084']
Community 578: ['21035', '21066', '21067', '21068', '21069', '21070', '21086']
Community 579: ['21036', '21037', '21038', '21039', '21041']
Community 580: ['21040', '21042']
Community 581: ['21043', '21044', '21045', '21046', '21053']
Community 582: ['21047', '21049', '21051', '21052']
Community 583: ['21054', '21055', '21056', '21057', '21058', '21059', '21060', '21061', '21062', '21063', '21064', '21065']
Community 584: ['21083', '21130', '21131', '21132', '21133']
Community 585: ['21085', '21123', '21124', '21125', '21126', '21127', '21128', '21129', '21136']
Community 586: ['21087', '21118', '21119', '21120', '21121', '21122', '21138']
Community 587: ['21088', '21089', '21090', '21091', '21093']
Community 588: ['21092', '21094', '21117']
Community 589: ['21095', '21114', '21116']
Community 590: ['21096']
Community 591: ['21097', '21152', '21154']
Community 592: ['21098', '21099', '21100', '21101', '21102', '21103', '21104', '21105', '21106', '21107', '21108', '21110']
Community 593: ['21109', '21111', '21112', '21113', '21115']
Community 594: ['21135', '21182', '21183', '21184', '21185']
Community 595: ['21137', '21175', '21176', '21177', '21178', '21179', '21180', '21181', '21188']
Community 596: ['21139', '21170', '21171', '21172', '21173', '21174', '21190']
Community 597: ['21140', '21141', '21142', '21143', '21145']
Community 598: ['21144', '21146']
Community 599: ['21147', '21148', '21149', '21150', '21157']
Community 600: ['21151', '21153', '21155', '21156']
Community 601: ['21158', '21159', '21160', '21161', '21162', '21163', '21164', '21165', '21166', '21167', '21168', '21169']
Community 602: ['21187', '21234', '21235', '21236', '21237']
Community 603: ['21189', '21227', '21228', '21229', '21230', '21231', '21232', '21233', '21240']
Community 604: ['21191', '21222', '21223', '21224', '21225', '21226', '21242']
Community 605: ['21192', '21193', '21194', '21195', '21197']
Community 606: ['21196', '21198', '21221']
Community 607: ['21199', '21218', '21220']
Community 608: ['21200']
Community 609: ['21201', '21256', '21258']
Community 610: ['21202', '21203', '21204', '21205', '21206', '21207', '21208', '21209', '21210', '21211', '21212', '21214']
Community 611: ['21213', '21215', '21216', '21217', '21219']
Community 612: ['21239', '21286', '21287', '21288', '21289']
Community 613: ['21241', '21279', '21280', '21281', '21282', '21283', '21284', '21285', '21292']
Community 614: ['21243', '21274', '21275', '21276', '21277', '21278', '21294']
Community 615: ['21244', '21245', '21246', '21247', '21249']
Community 616: ['21248', '21250']
Community 617: ['21251', '21252', '21253', '21254', '21261']
Community 618: ['21255', '21257', '21259', '21260']
Community 619: ['21262', '21263', '21264', '21265', '21266', '21267', '21268', '21269', '21270', '21271', '21272', '21273']
Community 620: ['21291', '21338', '21339', '21340', '21341']
Community 621: ['21293', '21331', '21332', '21333', '21334', '21335', '21336', '21337', '21344']
Community 622: ['21295', '21326', '21327', '21328', '21329', '21330', '21346']
Community 623: ['21296', '21297', '21298', '21299', '21301']
Community 624: ['21300', '21302', '21325']
Community 625: ['21303', '21322', '21324']
Community 626: ['21304']
Community 627: ['21305', '21360', '21362']
Community 628: ['21306', '21307', '21308', '21309', '21310', '21311', '21312', '21313', '21314', '21315', '21316', '21318']
Community 629: ['21317', '21319', '21320', '21321', '21323']
Community 630: ['21343', '21390', '21391', '21392', '21393']
Community 631: ['21345', '21383', '21384', '21385', '21386', '21387', '21388', '21389', '21396']
Community 632: ['21347', '21378', '21379', '21380', '21381', '21382', '21398']
Community 633: ['21348', '21349', '21350', '21351', '21353']
Community 634: ['21352', '21354']
Community 635: ['21355', '21356', '21357', '21358', '21365']
Community 636: ['21359', '21361', '21363', '21364']
Community 637: ['21366', '21367', '21368', '21369', '21370', '21371', '21372', '21373', '21374', '21375', '21376', '21377']
Community 638: ['21395', '21442', '21443', '21444', '21445']
Community 639: ['21397', '21435', '21436', '21437', '21438', '21439', '21440', '21441', '21448']
Community 640: ['21399', '21433', '21434']
Community 641: ['21400', '21401', '21402', '21403', '21405']
Community 642: ['21404', '21406', '21429']
